,Execute Script? (Admin Only),Script File Name,Run As UserName,TWGQA2D,successs,error
0,,GB-2313,SystemIntegrationUser,True,True,
1,,GB-2313_1,BillingStatementUser,True,True,
2,,GB-2314,BillingStatementUser,True,True,
3,,GB-2314_1,BillingStatementUser,True,True,
4,,GB-2317,SystemIntegrationUser,True,True,
5,,GB-2318,SystemIntegrationUser,True,True,
6,,GB-2319,BillingStatementUser,True,True,
7,,GB-2320,SystemIntegrationUser,True,True,
8,,GB-2321,SystemIntegrationUser,True,True,
9,,GB-2322,BillingStatementUser,True,True,
10,,GB-2323,SystemIntegrationUser,True,True,
11,,GB-2325,BillingStatementUser,True,True,
12,,GB-2326,BillingStatementUser,True,True,
13,,GB-2327,BillingStatementUser,True,True,
14,,GB-2328,SystemIntegrationUser,True,True,
15,,GB-2329,SystemIntegrationUser,True,True,
16,,GB-2330,BillingStatementUser,True,True,
17,,GB-2331,SystemIntegrationUser,True,True,
18,,GB-2333,SystemIntegrationUser,True,True,
19,,GB-2335,BillingStatementUser,True,True,
20,,GB-2336,SystemIntegrationUser,True,True,
21,,GB-2337,BillingStatementUser,True,True,
22,,GB-2338,BillingStatementUser,True,True,
23,,GB-2339,BillingStatementUser,True,True,
24,,GB-2340,SystemIntegrationUser,True,True,
25,,GB-2341,SystemIntegrationUser,True,True,
26,,GB-2342,BillingStatementUser,True,True,
