Execute Script? (Admin Only),Script File Name,Run As UserName,TWGQA2D,PROD
,GB-2313,SystemIntegrationUser,TRUE,FALSE
,GB-2313_5,BillingStatementUser,TRUE,FALSE
,GB-2313_4,BillingStatementUser,TRUE,FALSE
,GB-2313_3,BillingStatementUser,TRUE,FALSE
,GB-2313_2,BillingStatementUser,TRUE,FALSE
,GB-2313_1,BillingStatementUser,TRUE,FALSE
,GB-2314,BillingStatementUser,TRUE,FALSE
,GB-2314_1,BillingStatementUser,TRUE,FALSE
,GB-2317,SystemIntegrationUser,TRUE,FALSE
,GB-2318,SystemIntegrationUser,TRUE,FALSE
,GB-2319,BillingStatementUser,TRUE,FALSE
,GB-2320,SystemIntegrationUser,TRUE,FALSE
,GB-2321,SystemIntegrationUser,TRUE,FALSE
,GB-2322,BillingStatementUser,TRUE,FALSE
,GB-2323,SystemIntegrationUser,TRUE,FALSE
,GB-2325,BillingStatementUser,TRUE,FALSE
,GB-2326,BillingStatementUser,TRUE,FALSE
,GB-2327,BillingStatementUser,TRUE,FALSE
,GB-2328,SystemIntegrationUser,TRUE,FALSE
,GB-2329,SystemIntegrationUser,TRUE,FALSE
,GB-2330_3,BillingStatementUser,TRUE,FALSE
,GB-2330_2,BillingStatementUser,TRUE,FALSE
,GB-2330_1,BillingStatementUser,TRUE,FALSE
,GB-2330,BillingStatementUser,TRUE,FALSE
,GB-2331,SystemIntegrationUser,TRUE,FALSE
,GB-2333,SystemIntegrationUser,TRUE,FALSE
,GB-2335,BillingStatementUser,TRUE,FALSE
,GB-2336,SystemIntegrationUser,TRUE,FALSE
,GB-2337,BillingStatementUser,TRUE,FALSE
,GB-2338,BillingStatementUser,TRUE,FALSE
,GB-2339,BillingStatementUser,TRUE,FALSE
,GB-2340,SystemIntegrationUser,TRUE,FALSE
,GB-2341,SystemIntegrationUser,TRUE,FALSE
,GB-2342,BillingStatementUser,TRUE,FALSE
,GB-2315,BillingStatementUser,TRUE,FALSE
,GB-2315_1,BillingStatementUser,TRUE,FALSE
,GB-2315_2,BillingStatementUser,TRUE,FALSE
,GB-2315_3,BillingStatementUser,TRUE,FALSE
